lemma	lat	eng
promptus	quod cuique prōmptum erat, obtulērunt	they showed what was clear to everyone
promptus	promptior linguā quam manū	quicker of tongue than of hand
promptus	hominēs ad vim prompti	the men were prepared for might
pronus	prōna via	a downward-bending road, a steep road
pronus	in obsequium plūs aequō prōnus	prone to complaisance more than is right
prope	nōn prope mē, sed paene mēcum habitavit	he did not live near me, but he almost lived with me
propero	Caesar in Italiam properavit	Caesar hurried into Italy
propero	deditionem properare	to hasten a surrender
propinquus	domus forō propinqua	a house near the forum
propior	vērō est propius	in truth it is more probable
propono	quod ante tacuerat, proposuit	he pointed out what before he had kept silent
propono	iucundum, mea vītā, mihi proponis amōrem	my life, you imagine that our love will be bliss
propositum	propositum nostrum est secundum nātūram vīvere	our intention is to live according to nature
proprius	proprium id tiberio fuit	that was peculiar to Tiberius
propter	propter frigora frumenta matura nōndum erant	because of the cold the corn was not yet ripe
prorsus	nūllō modo prōrsus assentior	in no way do I straightaway agree
prosperus	invenimus omnia prōspera evenisse	we found that everything had turned out prosperously 
prospicio	prospexi Italiam summā sublīmis ab undā	lifted up by the highest wave, I saw Italy off in the distance
prospicio	prospicere futuros cāsūs reī pūblicae	to look forward to future emergencies of the republic
prospicio	consulite vōbīs, prospicite patriae	consider yourselves, look out for your fatherland
protinus	hostēs prōtinus ad flūmen contendērunt	immediately they engaged with the enemy at the river
provideo	tempestates gubernātor prōvidet	a helmsman gives his attention to storms
provideo	cūra et provide nē quid eī dēsit	take care and provide that she has what she needs
provincia	hannonis cis hiberum prōvinciā fuit	the province of Hanno was on this side of the Ebro
provincia	sicilia prīma omnium prōvinciā est appellata	Sicily was called the first province of all
prudens	animorum prōvinciae prudens	well-acquainted with the temper of the province
pubes	rōmāna pubes	the young men of Rome
publicus	prīvātō an pūblicō cōnsiliō saguntum oppugnavit Hannibal?	did Hannibal attack Saguntum on his own account or on behalf of the state?
pudicus	erubescunt pudici etiam loquī dē pudīcitia	the modest blush even to speak about modesty
pudor	pudōrem rubor, terrorem pallor consequitur	bashfulness proceeds from shame, paleness from terror
puer	adolescens vel puer potius	a young man, or rather, a boy
pueritia	ā pueritia	since boyhood
pugna	caedēs indē, nōn jam pugna erat	after that it was no longer a battle, but slaughter
pugno	prō arīs et focīs pugnāre	to fight on behalf of the altars and hearths
pulcher	nimis pulchra mulier	an exceedingly pretty woman
pulvis	Rōmānī pulveris magnam vim animadvertērunt	the Romans noticed the great force of the dust
purpureus	purpurea aurora	rosy-red Dawn
purus	purae ā cīvīlī sanguine manūs	hands unpolluted by the blood of citizens
puto	nōlī putāre quemquam meliōrem fuisse	Don’t think that anyone was better
qua	eādem quā cēterī fugere nolui	I did not want to flee by the same way as the rest
qua	quā prospici poterat	in what way it could be foreseen
quaero	thales originem rērum quaesīvit	Thales sought the origin of things
quaero	multa ex eō saepe quaesīvī	I often sought many things from him
quaeso	tū, quaesō, crebro ad mē scrībe	you, I beg, write to me frequently
quaestio	verberibus et tormentis quaestionem habēre	to hold an examination by floggings and tortures
quaestio	quaestio perpetuā dē repetundis	the standing court for crimes of extortion
qualis	doce mē quālēs sint	tell me what sort they are
qualis	quālīs homō, tālis ōrātiō	such as the man is, so is his speech
quam	id quam injūstum esset, nōn videbat	he did not see how this was unjust
quam	quam verissime poterō	as truthfully as I can
quam	numquam minus sōlus sum quam cum sōlus sum	I am never less lonely than when I am alone
quamquam	Rōmānī quamquam fessi erant, tamen eī obviam prōcēdēbant	the Romans, although they were tired, nevertheless were advancing to meet him
quamvis	quamvīs multōs nominatim prōferre possum	I can mention by name any number of men
quamvis	quamvīs sint sub aquā, sub aquā maledicere temptant	although they are underwater, underwater they try to speak curses
quando	quandō ego tē aspiciam?	when shall I look upon you?
quando	exsistit quaestio num quandō amīcī nōvī veteribus anteponendi sint	the question came up whether new friends must ever be preferred to old
quando	id omittō, quandō ita vōbīs placet	I omit this, since this way it pleases you 
quantus	quanta esset īnsulae magnitūdō reperire nōn poterat	he was not able to ascertain how great the size of the island was
quantus	est aliēnum tantō virō, quantus es tū, desperare	it is foreign to so great a man as you are to despair
quasi	proinde quasi nostram mentem vidēre possimus	just as if we could see our mind
quatio	horror membra quatit	fear shakes the limbs
quatio	muros arietibus quatiunt	they shake the walls with battering rams
que	Senātus Populusque Rōmānus	the Senate and the Roman People
querela	querēlae ab initiō operis meī certē absint	certainly let complaints be absent from the beginning of my work
queror	fātum suum mīlitēs querebantur	the soldiers were bewailing their fate
qui	scribis tē velle scīre, quī sit reī pūblicae status	you write that you want to know, how is the state of the republic
qui	quī tālia audet, summā laude dignus est	he who dares such things is worthy of the highest praise
quia	nōn quia necesse sit, sed quia oportet	not since it is inevitable, but since it is proper
quodcumque	omnia quaecumque loquimur	everything whatsoever we say
quodcumque	laeti quamcumque condiciōnem pācis accēpērunt	they happily accepted any terms of peace whatsoever
quidam	quōdam diē	on a certain day
quidem	caesar sibi quidem persuasum esse dīxit	Caesar said that he at least had been persuaded
quies	ūnīus diēī quiētem fessis mīlitibus dēdit	he gave the tired soldiers one day’s rest
quin	quīn conscendimus nāvem?	why don’t we board the ship?
quin	dubium nōn est, quīn fuerint ante homērum poetae	it is certain that there were poets before Homer
quin	nēmō est quīn haec sciat	there is no one who doesn’t know these things
queo	nōn crēdere quivi	I couldn’t believe
quis	quis Cicerōne clarior?	who is more famous than Cicero?
quisquam	nōn quicquam aliud est philosophia quam studium sapientiae	philosophy is nothing other than an eagerness for wisdom
quisque	suum cuique redde	grant to each his own
quisque	optimus quisque	all the best men
quisquis	per quidquid deōrum est	by whatever there is of divinity
quivis	nōn cuivis hominī contingit adīre corinthum	not everyone happens to go to Corinth
quo	quō sē verteret, nōn habēbat	he did not have anywhere to turn himself
quo	quō plūs potestis, eō magis atroces vōs praebetis	the more power you have, the more ferocious you become
quo	adiuva mē quō fīat facilius	help me, so it’ll get done more easily
quod	torquātus fīlium suum, quod is contrā imperium in hostēs pugnāverat, necārī jussit	Torquatus ordered that his own son be killed because he has fought against the enemy against his command
quod	certissima rēs accedebat quod per fīnēs sequanorum helvetios traduxerant	the most certain thing was added, that the Helvetians had crossed through the borders of the Sequani
quod	nōn est quod multa loquamur	it is not the kind of thing we would speak much about
quondam	magnae quondam urbis tenue vestigium	the thin trace of a once great city
quotiens	heu, quotiēns mutatos deōs flebit	ah, how often he will lament at the changeable gods
rabies	in rabiem īra versa est	anger was turned into madness
radius	radii sōlis	rays of the sun
rapio	carinas ventī rapuērunt	the winds seized the keels
rapio	raptō vivunt	they live by robbing
rapidus	rapidus ignis	consuming fire
rapidus	rapidus amnis	a rapid river
rarus	appārent rārī nantēs in gurgite vastō	here and there swimmers appear in the vast whirlpool
rarus	optimum quidque rarissimum est	all the best things are also the rarest
ratio	nōn suī sōlum, sed etiam aliōrum ratiō habenda est	concern must be had not only for oneself, but also for others
ratio	nōn est meae consuetudinis ratiōnem reddere	it is not my habit to render an account
ratio	in hīs rēbus neque ratiō neque cōnsilium valet	in these matters neither reason nor planning prevails
ratio	novam ratiōnem bellī iniit	he reckoned a new reason for war
ratis	fragilem truci commisit pelagō ratem	he entrusted a flimsy ship to the rough sea
recedo	locō recessērunt cōpiae	the troops withdrew from the spot
recedo	ab armīs recedamus	let’s surrender
recens	recēns memoriā parentīs	the recent memory of a parent
recipio	intrā muros sē recepērunt	they withdrew within the walls
recipio	hōs tutissimus portus recepit	the safest port has received these
recipio	ex timōre sē recipit	he recovered from his fear
rectus	recto itinere	on a direct journey
rectus	iudex constans et rēctus	a firm and upright judge
reddo	operam mihi reddidisti	you have served me
reddo	suum cuique redde	grant to each his own
reddo	falculam placidum mollemque reddidi	I made Falcula calm and gentle
redeo	vērē redeunt arboribus comae	in the spring leaves return to the trees
redeo	summā imperiī ad caesarem rediit	sole command returned to Caesar
reditus	themistoclis fugā et reditus	Themistocles’ exile and return
refero	grātiam eī prō meritīs referemus	we will return thanks to him in accordance with his merit
refero	rōmam sēsē rettulērunt	they returned to Rome
refero	magna referre mihi in animō est	I intend to give back great things
refert	mea refert	it concerns me
reficio	assiduo labōre reficiendae urbis fessi erant	they were tired from the constant labor of rebuilding the city
rego	stāre respublica nisi ūnō regente nōn potest	the reublic cannot stand except with a single man ruling
regina	rēgīna gravī iamdudum saucia cūra	the queen, now for a long time wounded by a deep love
